name,link,year_from,year_to,college,first,last,nbaID,bbrID
Derrick Alston,/players/a/alstode01.html,1995,1997,Duquesne University,Alston,Derrick,308,alstode01
Rafer Alston,/players/a/alstora01.html,2000,2010,"California State University, Fresno",Alston,Rafer,1747,alstora01
Peter Aluma,/players/a/alumape01.html,1999,1999,Liberty University,Aluma,Peter,1824,alumape01
John Amaechi,/players/a/amaecjo01.html,1996,2003,Pennsylvania State University,Amaechi,John,680,amaecjo01
Ashraf Amaya,/players/a/amayaas01.html,1996,1997,Southern Illinois University,Amaya,Ashraf,732,amayaas01
Al-Farouq Aminu,/players/a/aminual01.html,2011,2017,Wake Forest University,Aminu,Al-Farouq,202329,aminual01
Lou Amundson,/players/a/amundlo01.html,2007,2016,"University of Nevada, Las Vegas",Amundson,Lou,200811,amundlo01
Chris Andersen,/players/a/anderch01.html,2002,2017,Blinn College,Andersen,Chris,2365,anderch01
David Andersen,/players/a/anderda03.html,2010,2011,,Andersen,David,2431,anderda03
Alan Anderson,/players/a/anderal01.html,2006,2017,Michigan State University,Anderson,Alan,101187,anderal01
Antonio Anderson,/players/a/anderan02.html,2010,2010,University of Memphis,Anderson,Antonio,202079,anderan02
Derek Anderson,/players/a/anderde01.html,1998,2008,University of Kentucky,Anderson,Derek,1507,anderde01
Dwight Anderson,/players/a/anderdw01.html,1983,1983,University of Southern California,Anderson,Dwight,76037,anderdw01
Eric Anderson,/players/a/anderer01.html,1993,1994,Indiana University,Anderson,Eric,944,anderer01
Greg Anderson,/players/a/andergr01.html,1988,1998,University of Houston,Anderson,Greg,246,andergr01
J.J. Anderson,/players/a/anderjj01.html,1983,1985,Bradley University,,,,anderjj01
James Anderson,/players/a/anderja01.html,2011,2016,Oklahoma State University,Anderson,James,202341,anderja01
Jerome Anderson,/players/a/anderje01.html,1976,1977,West Virginia University,Anderson,Jerome,76040,anderje01
Justin Anderson,/players/a/anderju01.html,2016,2017,University of Virginia,Anderson,Justin,1626147,anderju01
Kenny Anderson,/players/a/anderke01.html,1992,2005,Georgia Institute of Technology,Anderson,Kenny,72,anderke01
Kim Anderson,/players/a/anderki01.html,1979,1979,University of Missouri,Anderson,Kim,76041,anderki01
Kyle Anderson,/players/a/anderky01.html,2015,2017,"University of California, Los Angeles",Anderson,Kyle,203937,anderky01
Michael Anderson,/players/a/andermi01.html,1989,1989,Drexel University,Anderson,Michael,76042,andermi01
Nick Anderson,/players/a/anderni01.html,1990,2002,University of Illinois at Urbana-Champaign,Anderson,Nick,98,anderni01
Richard Anderson,/players/a/anderri01.html,1983,1990,"University of California, Santa Barbara",Anderson,Richard,76045,anderri01
Ron Anderson,/players/a/anderro01.html,1985,1994,"California State University, Fresno",Anderson,Ron,76046,anderro01
Ryan Anderson,/players/a/anderry01.html,2009,2017,University of California,Anderson,Ryan,201583,anderry01
Shandon Anderson,/players/a/andersh01.html,1997,2006,University of Georgia,Anderson,Shandon,1000,andersh01
Willie Anderson,/players/a/anderwi01.html,1989,1997,University of Georgia,Anderson,Willie,335,anderwi01
Martynas Andriuskevicius,/players/a/andrima01.html,2006,2006,,Andriuskevicius,Martynas,101149,andrima01
Michael Ansley,/players/a/anslemi01.html,1990,1992,University of Alabama,Ansley,Michael,76050,anslemi01
Chris Anstey,/players/a/anstech01.html,1998,2000,,Anstey,Chris,1512,anstech01
Giannis Antetokounmpo,/players/a/antetgi01.html,2014,2017,,Antetokounmpo,Giannis,203507,antetgi01
Thanasis Antetokounmpo,/players/a/antetth01.html,2016,2016,,Antetokounmpo,Thanasis,203648,antetth01
Carmelo Anthony,/players/a/anthoca01.html,2004,2017,Syracuse University,Anthony,Carmelo,2546,anthoca01
Greg Anthony,/players/a/anthogr01.html,1992,2002,"University of Nevada, Las Vegas",Anthony,Greg,21,anthogr01
Joel Anthony,/players/a/anthojo01.html,2008,2017,"University of Nevada, Las Vegas",Anthony,Joel,201202,anthojo01
Pero Antic,/players/a/anticpe01.html,2014,2015,,Antic,Pero,203544,anticpe01
Keith Appling,/players/a/applike01.html,2016,2016,Michigan State University,Appling,Keith,203951,applike01
Rafael Araujo,/players/a/araujra01.html,2005,2007,Brigham Young University,Araujo,Rafael,2737,araujra01
Robert Archibald,/players/a/archiro01.html,2003,2004,University of Illinois at Urbana-Champaign,Archibald,Robert,2425,archiro01
Tiny Archibald,/players/a/architi01.html,1971,1984,University of Texas at El Paso,,,,architi01
Jim Ard,/players/a/ardji01.html,1971,1978,University of Cincinnati,Ard,Jim,76055,ardji01
Gilbert Arenas,/players/a/arenagi01.html,2002,2012,University of Arizona,Arenas,Gilbert,2240,arenagi01
Trevor Ariza,/players/a/arizatr01.html,2005,2017,"University of California, Los Angeles",Ariza,Trevor,2772,arizatr01
Joe Arlauckas,/players/a/arlaujo01.html,1988,1988,Niagara University,Arlauckas,Joe,76057,arlaujo01
B.J. Armstrong,/players/a/armstbj01.html,1990,2000,University of Iowa,Armstrong,B.J.,769,armstbj01
Brandon Armstrong,/players/a/armstbr01.html,2002,2004,Pepperdine University,Armstrong,Brandon,2220,armstbr01
Darrell Armstrong,/players/a/armstda01.html,1995,2008,Fayetteville State University,Armstrong,Darrell,353,armstda01
Hilton Armstrong,/players/a/armsthi01.html,2007,2014,University of Connecticut,Armstrong,Hilton,200756,armsthi01
Tate Armstrong,/players/a/armstta01.html,1978,1979,Duke University,Armstrong,Tate,76059,armstta01
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,Arroyo,Carlos,2306,arroyca01
Darrell Arthur,/players/a/arthuda01.html,2009,2017,University of Kansas,Arthur,Darrell,201589,arthuda01
Omer Asik,/players/a/asikom01.html,2011,2017,,Asik,Omer,201600,asikom01
Vincent Askew,/players/a/askewvi01.html,1988,1998,University of Memphis,Askew,Vincent,355,askewvi01
Keith Askins,/players/a/askinke01.html,1991,1999,University of Alabama,Askins,Keith,173,askinke01
Chucky Atkins,/players/a/atkinch01.html,2000,2010,University of South Florida,Atkins,Chucky,1088,atkinch01
Stacey Augmon,/players/a/augmost01.html,1992,2006,"University of Nevada, Las Vegas",Augmon,Stacey,278,augmost01
D.J. Augustin,/players/a/augusdj01.html,2009,2017,University of Texas at Austin,Augustin,D.J.,201571,augusdj01
James Augustine,/players/a/augusja01.html,2007,2008,University of Illinois at Urbana-Champaign,Augustine,James,200788,augusja01
Isaac Austin,/players/a/austiis01.html,1992,2002,Arizona State University,,,,austiis01
Ken Austin,/players/a/austike01.html,1984,1984,Rice University,Austin,Ken,76074,austike01
Anthony Avent,/players/a/aventan01.html,1993,2000,Seton Hall University,Avent,Anthony,138,aventan01
Bird Averitt,/players/a/averibi01.html,1974,1978,Pepperdine University,,,,averibi01
William Avery,/players/a/averywi01.html,2000,2002,Duke University,Avery,William,1895,averywi01
Dennis Awtrey,/players/a/awtrede01.html,1971,1982,Santa Clara University,Awtrey,Dennis,76078,awtrede01
Gustavo Ayon,/players/a/ayongu01.html,2012,2014,,Ayon,Gustavo,202970,ayongu01
Jeff Ayres,/players/p/pendeje02.html,2010,2016,Arizona State University,Ayres,Jeff,201965,pendeje02
Kelenna Azubuike,/players/a/azubuke01.html,2007,2012,University of Kentucky,Azubuike,Kelenna,101235,azubuke01
Chris Babb,/players/b/babbch01.html,2014,2014,Iowa State University,Babb,Chris,203569,babbch01
Luke Babbitt,/players/b/babbilu01.html,2011,2017,"University of Nevada, Reno",Babbitt,Luke,202337,babbilu01
Milos Babic,/players/b/babicmi01.html,1991,1992,Tennessee Technological University,Babic,Milos,76079,babicmi01
Dalibor Bagaric,/players/b/bagarda01.html,2001,2003,,Bagaric,Dalibor,2053,bagarda01
John Bagley,/players/b/baglejo01.html,1983,1994,Boston College,Bagley,John,76082,baglejo01
Carl Bailey,/players/b/baileca01.html,1982,1982,Tuskegee University,Bailey,Carl,76084,baileca01
Gus Bailey,/players/b/bailegu01.html,1975,1980,University of Texas at El Paso,Bailey,Gus,76083,bailegu01
James Bailey,/players/b/baileja01.html,1980,1988,Rutgers University,Bailey,James,76085,baileja01
Thurl Bailey,/players/b/baileth01.html,1984,1999,North Carolina State University,Bailey,Thurl,1847,baileth01
Toby Bailey,/players/b/baileto01.html,1999,2000,"University of California, Los Angeles",Bailey,Toby,1753,baileto01
Cameron Bairstow,/players/b/bairsca01.html,2015,2016,University of New Mexico,Bairstow,Cameron,203946,bairsca01
LaMark Baker,/players/b/bakerla01.html,1999,1999,Ohio State University,,,,bakerla01
Maurice Baker,/players/b/bakerma01.html,2005,2005,Oklahoma State University,Baker,Maurice,2486,bakerma01
Ron Baker,/players/b/bakerro01.html,2017,2017,Wichita State University,Baker,Ron,1627758,bakerro01
Vin Baker,/players/b/bakervi01.html,1994,2006,University of Hartford,Baker,Vin,452,bakervi01
Wade Baldwin,/players/b/baldwwa01.html,2017,2017,Vanderbilt University,,,,baldwwa01
Renaldo Balkman,/players/b/balkmre01.html,2007,2012,University of South Carolina,Balkman,Renaldo,200764,balkmre01
Cedric Ball,/players/b/ballce01.html,1991,1991,University of North Carolina at Charlotte,Ball,Cedric,76090,ballce01
Greg Ballard,/players/b/ballagr01.html,1978,1989,University of Oregon,Ballard,Greg,76091,ballagr01
Gene Banks,/players/b/banksge01.html,1982,1987,Duke University,Banks,Gene,76093,banksge01
Marcus Banks,/players/b/banksma01.html,2004,2011,"University of Nevada, Las Vegas",Banks,Marcus,2556,banksma01
Ken Bannister,/players/b/bannike01.html,1985,1991,Saint Augustine's College,Bannister,Ken,76094,bannike01
Mike Bantom,/players/b/bantomi01.html,1974,1982,Saint Joseph's University,Bantom,Mike,76095,bantomi01
Leandro Barbosa,/players/b/barbole01.html,2004,2017,,Barbosa,Leandro,2571,barbole01
Steve Bardo,/players/b/bardost01.html,1992,1996,University of Illinois at Urbana-Champaign,,,,bardost01
J.J. Barea,/players/b/bareajo01.html,2007,2017,Northeastern University,Barea,J.J.,200826,bareajo01
Andrea Bargnani,/players/b/bargnan01.html,2007,2016,,Bargnani,Andrea,200745,bargnan01
Tom Barker,/players/b/barketo01.html,1977,1979,University of Hawaii,Barker,Tom,76099,barketo01
Charles Barkley,/players/b/barklch01.html,1985,2000,Auburn University,Barkley,Charles,787,barklch01
Erick Barkley,/players/b/barkler01.html,2001,2002,St. John's University,Barkley,Erick,2057,barkler01
Harrison Barnes,/players/b/barneha02.html,2013,2017,University of North Carolina,Barnes,Harrison,203084,barneha02
Marvin Barnes,/players/b/barnema01.html,1975,1980,Providence College,Barnes,Marvin,76104,barnema01
Matt Barnes,/players/b/barnema02.html,2004,2017,"University of California, Los Angeles",Barnes,Matt,2440,barnema02
Jim Barnett,/players/b/barneji02.html,1967,1977,University of Oregon,Barnett,Jim,76106,barneji02
Norton Barnhill,/players/b/barnhno01.html,1977,1977,Washington State University,Barnhill,Norton,76109,barnhno01
Mike Barr,/players/b/barrmi01.html,1973,1977,Duquesne University,Barr,Mike,76112,barrmi01
Andre Barrett,/players/b/barrean01.html,2005,2008,Seton Hall University,Barrett,Andre,2857,barrean01
Earl Barron,/players/b/barroea01.html,2006,2015,University of Memphis,Barron,Earl,2853,barroea01
