name,link,year_from,year_to,college,first,last,nbaID,bbrID
Dan Langhi,/players/l/langhda01.html,2001,2004,Vanderbilt University,Langhi,Dan,2061,langhda01
Bob Lanier,/players/l/laniebo01.html,1971,1984,St. Bonaventure University,Lanier,Bob,600005,laniebo01
Nicolas Laprovittola,/players/l/laproni01.html,2017,2017,,Laprovittola,Nicolas,1627879,laproni01
Shane Larkin,/players/l/larkish01.html,2014,2016,University of Miami,Larkin,Shane,203499,larkish01
Rusty LaRue,/players/l/larueru01.html,1998,2004,Wake Forest University,LaRue,Rusty,1601,larueru01
John Laskowski,/players/l/laskojo01.html,1976,1977,Indiana University,Laskowski,John,77341,laskojo01
Stephane Lasme,/players/l/lasmest01.html,2008,2008,University of Massachusetts Amherst,Lasme,Stephane,201186,lasmest01
Priest Lauderdale,/players/l/laudepr01.html,1997,1998,Central State University,Lauderdale,Priest,968,laudepr01
Rich Laurel,/players/l/laureri01.html,1978,1978,Hofstra University,Laurel,Rich,77344,laureri01
Joffrey Lauvergne,/players/l/lauvejo01.html,2015,2017,,Lauvergne,Joffrey,203530,lauvejo01
Zach LaVine,/players/l/lavinza01.html,2015,2017,"University of California, Los Angeles",LaVine,Zach,203897,lavinza01
Acie Law,/players/l/lawac01.html,2008,2011,Texas A&M University,Law,Acie,201151,lawac01
Gani Lawal,/players/l/lawalga01.html,2011,2011,Georgia Institute of Technology,Lawal,Gani,202371,lawalga01
Edmund Lawrence,/players/l/lawreed01.html,1981,1981,McNeese State University,,,,lawreed01
Jason Lawson,/players/l/lawsoja01.html,1998,1998,Villanova University,Lawson,Jason,1535,lawsoja01
Ty Lawson,/players/l/lawsoty01.html,2010,2017,University of North Carolina,Lawson,Ty,201951,lawsoty01
Jake Layman,/players/l/laymaja01.html,2017,2017,University of Maryland,Layman,Jake,1627774,laymaja01
Mo Layton,/players/l/laytomo01.html,1972,1978,University of Southern California,,,,laytomo01
Allen Leavell,/players/l/leaveal01.html,1980,1989,Oklahoma City University,Leavell,Allen,77353,leaveal01
Jeff Lebo,/players/l/leboje01.html,1990,1990,University of North Carolina,Lebo,Jeff,77354,leboje01
Eric Leckner,/players/l/leckner01.html,1989,1997,University of Wyoming,Leckner,Eric,287,leckner01
Ricky Ledo,/players/l/ledori01.html,2014,2015,,Ledo,Ricky,203495,ledori01
Butch Lee,/players/l/leebu01.html,1979,1980,Marquette University,Lee,Butch,77356,leebu01
Courtney Lee,/players/l/leeco01.html,2009,2017,Western Kentucky University,Lee,Courtney,201584,leeco01
David Lee,/players/l/leeda02.html,2006,2017,University of Florida,Lee,David,101135,leeda02
Doug Lee,/players/l/leedo01.html,1992,1995,Purdue University,Lee,Doug,77358,leedo01
Keith Lee,/players/l/leeke01.html,1986,1989,University of Memphis,Lee,Keith,77361,leeke01
Kurk Lee,/players/l/leeku01.html,1991,1991,Towson University,Lee,Kurk,77362,leeku01
Malcolm Lee,/players/l/leema01.html,2012,2015,"University of California, Los Angeles",Lee,Malcolm,202723,leema01
Rock Lee,/players/l/leero02.html,1982,1982,San Diego State University,Lee,Rock,77363,leero02
Ron Lee,/players/l/leero01.html,1977,1982,University of Oregon,Lee,Ron,77364,leero01
Tim Legler,/players/l/legleti01.html,1990,2000,La Salle University,Legler,Tim,100,legleti01
Alex Len,/players/l/lenal01.html,2014,2017,University of Maryland,Len,Alex,203458,lenal01
Voshon Lenard,/players/l/lenarvo01.html,1996,2006,University of Minnesota,Lenard,Voshon,702,lenarvo01
Gary Leonard,/players/l/leonaga01.html,1990,1992,University of Missouri,Leonard,Gary,77370,leonaga01
Kawhi Leonard,/players/l/leonaka01.html,2012,2017,San Diego State University,Leonard,Kawhi,202695,leonaka01
Meyers Leonard,/players/l/leoname01.html,2013,2017,University of Illinois at Urbana-Champaign,Leonard,Meyers,203086,leoname01
Jim Les,/players/l/lesji01.html,1989,1995,Bradley University,Les,Jim,77372,lesji01
Travis Leslie,/players/l/leslitr01.html,2012,2012,University of Georgia,Leslie,Travis,202727,leslitr01
Ronnie Lester,/players/l/lestero01.html,1981,1986,University of Iowa,Lester,Ronnie,77373,lestero01
Clifford Lett,/players/l/lettcl01.html,1990,1991,University of Florida,Lett,Clifford,77374,lettcl01
Jon Leuer,/players/l/leuerjo01.html,2012,2017,University of Wisconsin,Leuer,Jon,202720,leuerjo01
Fat Lever,/players/l/leverfa01.html,1983,1994,Arizona State University,,,,leverfa01
Caris LeVert,/players/l/leverca01.html,2017,2017,University of Michigan,LeVert,Caris,1627747,leverca01
Cliff Levingston,/players/l/levincl01.html,1983,1995,Wichita State University,Levingston,Cliff,77377,levincl01
Cedric Lewis,/players/l/lewisce01.html,1996,1996,University of Maryland,Lewis,Cedric,736,lewisce01
Freddie Lewis,/players/l/lewisfr02.html,1967,1977,Arizona State University,Lewis,Freddie,77380,lewisfr02
Martin Lewis,/players/l/lewisma01.html,1996,1997,Seward County Community College,Lewis,Martin,729,lewisma01
Quincy Lewis,/players/l/lewisqu01.html,2000,2004,University of Minnesota,Lewis,Quincy,1900,lewisqu01
Ralph Lewis,/players/l/lewisra01.html,1988,1990,La Salle University,Lewis,Ralph,77383,lewisra01
Rashard Lewis,/players/l/lewisra02.html,1999,2014,,Lewis,Rashard,1740,lewisra02
Reggie Lewis,/players/l/lewisre01.html,1988,1993,Northeastern University,Lewis,Reggie,77384,lewisre01
Marcus Liberty,/players/l/liberma01.html,1991,1994,University of Illinois at Urbana-Champaign,Liberty,Marcus,77386,liberma01
Todd Lichti,/players/l/lichtto01.html,1990,1994,Stanford University,Lichti,Todd,77387,lichtto01
DeAndre Liggins,/players/l/liggide01.html,2012,2017,University of Kentucky,Liggins,DeAndre,202732,liggide01
Damian Lillard,/players/l/lillada01.html,2013,2017,Weber State University,Lillard,Damian,203081,lillada01
Jeremy Lin,/players/l/linje01.html,2011,2017,Harvard University,Lin,Jeremy,202391,linje01
Steve Lingenfelter,/players/l/lingest01.html,1983,1984,South Dakota State University,Lingenfelter,Steve,77389,lingest01
Alton Lister,/players/l/listeal01.html,1982,1998,Arizona State University,Lister,Alton,175,listeal01
Randy Livingston,/players/l/livinra01.html,1997,2007,Louisiana State University,Livingston,Randy,988,livinra01
Shaun Livingston,/players/l/livinsh01.html,2005,2017,,Livingston,Shaun,2733,livinsh01
Horacio Llamas Grey,/players/l/llamaho01.html,1997,1998,Grand Canyon University,,,,llamaho01
Lewis Lloyd,/players/l/lloydle01.html,1982,1990,Drake University,Lloyd,Lewis,77395,lloydle01
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,Lloyd,Scott,77396,lloydsc01
Rob Lock,/players/l/lockro01.html,1989,1989,University of Kentucky,,,,lockro01
Darrell Lockhart,/players/l/lockhda01.html,1984,1984,Auburn University,Lockhart,Darrell,77399,lockhda01
Ian Lockhart,/players/l/lockhia01.html,1991,1991,University of Tennessee,Lockhart,Ian,1100,lockhia01
Kevin Loder,/players/l/loderke01.html,1982,1984,Alabama State University,Loder,Kevin,77401,loderke01
Brad Lohaus,/players/l/lohaubr01.html,1988,1998,University of Iowa,Lohaus,Brad,38,lohaubr01
Art Long,/players/l/longar01.html,2001,2003,University of Cincinnati,Long,Art,1609,longar01
Grant Long,/players/l/longgr01.html,1989,2003,Eastern Michigan University,Long,Grant,3,longgr01
John Long,/players/l/longjo01.html,1979,1997,University of Detroit Mercy,Long,John,1381,longjo01
Shawn Long,/players/l/longsh01.html,2017,2017,University of Louisiana at Lafayette,Long,Shawn,1627848,longsh01
Luc Longley,/players/l/longllu01.html,1992,2001,University of New Mexico,Longley,Luc,26,longllu01
Kevon Looney,/players/l/looneke01.html,2016,2017,"University of California, Los Angeles",Looney,Kevon,1626172,looneke01
Brook Lopez,/players/l/lopezbr01.html,2009,2017,Stanford University,Lopez,Brook,201572,lopezbr01
Felipe Lopez,/players/l/lopezfe01.html,1999,2002,St. John's University,Lopez,Felipe,1732,lopezfe01
Raul Lopez,/players/l/lopezra01.html,2004,2005,,Lopez,Raul,2221,lopezra01
Robin Lopez,/players/l/lopezro01.html,2009,2017,Stanford University,Lopez,Robin,201577,lopezro01
Ryan Lorthridge,/players/l/lorthry01.html,1995,1995,Jackson State University,Lorthridge,Ryan,943,lorthry01
Bob Love,/players/l/lovebo01.html,1967,1977,Southern University and A&M College,Love,Bob,77412,lovebo01
Kevin Love,/players/l/loveke01.html,2009,2017,"University of California, Los Angeles",Love,Kevin,201567,loveke01
Sidney Lowe,/players/l/lowesi01.html,1984,1990,North Carolina State University,Lowe,Sidney,77415,lowesi01
Kyle Lowry,/players/l/lowryky01.html,2007,2017,Villanova University,Lowry,Kyle,200768,lowryky01
John Lucas,/players/l/lucasjo01.html,1977,1990,University of Maryland,Lucas,John,77419,lucasjo01
Kalin Lucas,/players/l/lucaska01.html,2015,2015,Michigan State University,Lucas,Kalin,203564,lucaska01
Maurice Lucas,/players/l/lucasma01.html,1975,1988,Marquette University,Lucas,Maurice,77420,lucasma01
John Lucas III,/players/l/lucasjo02.html,2006,2017,Oklahoma State University,Lucas III,John,101249,lucasjo02
Tyronn Lue,/players/l/luety01.html,1999,2009,University of Nebraska,Lue,Tyronn,1731,luety01
Timothe Luwawu-Cabarrot,/players/l/luwawti01.html,2017,2017,,Luwawu-Cabarrot,Timothe,1627789,luwawti01
Trey Lyles,/players/l/lylestr01.html,2016,2017,University of Kentucky,Lyles,Trey,1626168,lylestr01
George Lynch,/players/l/lynchge01.html,1994,2005,University of North Carolina,Lynch,George,248,lynchge01
Kevin Lynch,/players/l/lynchke01.html,1992,1993,University of Minnesota,Lynch,Kevin,77426,lynchke01
Sheldon Mac,/players/m/mcclesh01.html,2017,2017,University of Miami,,,,mcclesh01
Todd MacCulloch,/players/m/maccuto01.html,2000,2003,University of Washington,MacCulloch,Todd,1928,maccuto01
Scott Machado,/players/m/machasc01.html,2013,2013,Iona College,Machado,Scott,203159,machasc01
Arvydas Macijauskas,/players/m/macijar01.html,2006,2006,,Macijauskas,Arvydas,101178,macijar01
Ollie Mack,/players/m/mackol01.html,1980,1982,East Carolina University,Mack,Ollie,77432,mackol01
Sam Mack,/players/m/macksa01.html,1993,2002,University of Houston,Mack,Sam,694,macksa01
Shelvin Mack,/players/m/macksh01.html,2012,2017,Butler University,Mack,Shelvin,202714,macksh01
Malcolm Mackey,/players/m/mackema01.html,1994,1994,Georgia Institute of Technology,Mackey,Malcolm,1635,mackema01
Rudy Macklin,/players/m/macklru01.html,1982,1984,Louisiana State University,Macklin,Rudy,77435,macklru01
Vernon Macklin,/players/m/macklve01.html,2012,2012,University of Florida,Macklin,Vernon,202731,macklve01
Don MacLean,/players/m/macledo01.html,1993,2001,"University of California, Los Angeles",MacLean,Don,931,macledo01
Mark Macon,/players/m/maconma01.html,1992,1999,Temple University,Macon,Mark,1855,maconma01
Kyle Macy,/players/m/macyky01.html,1981,1987,University of Kentucky,Macy,Kyle,77438,macyky01
Tito Maddox,/players/m/maddoti01.html,2003,2003,"California State University, Fresno",Maddox,Tito,2432,maddoti01
Gerald Madkins,/players/m/madkige01.html,1994,1998,"University of California, Los Angeles",Madkins,Gerald,1666,madkige01
Mark Madsen,/players/m/madsema01.html,2001,2009,Stanford University,Madsen,Mark,2058,madsema01
Corey Maggette,/players/m/maggeco01.html,2000,2013,Duke University,Maggette,Corey,1894,maggeco01
Dave Magley,/players/m/magleda01.html,1983,1983,University of Kansas,Magley,Dave,77442,magleda01
Jamaal Magloire,/players/m/magloja01.html,2001,2012,University of Kentucky,Magloire,Jamaal,2048,magloja01
Ian Mahinmi,/players/m/mahinia01.html,2008,2017,,Mahinmi,Ian,101133,mahinia01
Rick Mahorn,/players/m/mahorri01.html,1981,1999,Hampton University,Mahorn,Rick,328,mahorri01
Dan Majerle,/players/m/majerda01.html,1989,2002,Central Michigan University,Majerle,Dan,105,majerda01
Renaldo Major,/players/m/majorre01.html,2007,2007,"California State University, Fresno",Major,Renaldo,200970,majorre01
Thon Maker,/players/m/makerth01.html,2017,2017,,Maker,Thon,1627748,makerth01
Jeff Malone,/players/m/malonje01.html,1984,1996,Mississippi State University,Malone,Jeff,117,malonje01
Karl Malone,/players/m/malonka01.html,1986,2004,Louisiana Tech University,Malone,Karl,252,malonka01
Moses Malone,/players/m/malonmo01.html,1975,1995,,Malone,Moses,77449,malonmo01
Matt Maloney,/players/m/malonma01.html,1997,2003,University of Pennsylvania,Maloney,Matt,1074,malonma01
Steve Malovic,/players/m/malovst01.html,1980,1980,San Diego State University,Malovic,Steve,77450,malovst01
Danny Manning,/players/m/mannida01.html,1989,2003,University of Kansas,Manning,Danny,330,mannida01
Rich Manning,/players/m/manniri01.html,1996,1997,University of Washington,,,,manniri01
Pace Mannion,/players/m/mannipa01.html,1984,1989,University of Utah,Mannion,Pace,77456,mannipa01
Pete Maravich,/players/m/maravpe01.html,1971,1980,Louisiana State University,Maravich,Pete,77459,maravpe01
Devyn Marble,/players/m/marblde01.html,2015,2016,University of Iowa,Marble,Devyn,203906,marblde01
Roy Marble,/players/m/marblro01.html,1990,1994,University of Iowa,Marble,Roy,77460,marblro01
Stephon Marbury,/players/m/marbust01.html,1997,2009,Georgia Institute of Technology,Marbury,Stephon,950,marbust01
Sarunas Marciulionis,/players/m/marcisa01.html,1990,1997,,Marciulionis,Sarunas,36,marcisa01
Jack Marin,/players/m/marinja01.html,1967,1977,Duke University,Marin,Jack,77463,marinja01
Shawn Marion,/players/m/mariosh01.html,2000,2015,"University of Nevada, Las Vegas",Marion,Shawn,1890,mariosh01
Boban Marjanovic,/players/m/marjabo01.html,2016,2017,,Marjanovic,Boban,1626246,marjabo01
Damir Markota,/players/m/markoda01.html,2007,2007,,Markota,Damir,200806,markoda01
Sean Marks,/players/m/marksse01.html,1999,2011,University of California,Marks,Sean,1752,marksse01
Ricky Marsh,/players/m/marshri01.html,1978,1978,Manhattan College,,,,marshri01
Donny Marshall,/players/m/marshdo02.html,1996,2003,University of Connecticut,Marshall,Donny,681,marshdo02
Donyell Marshall,/players/m/marshdo01.html,1995,2009,University of Connecticut,Marshall,Donyell,923,marshdo01
Kendall Marshall,/players/m/marshke01.html,2013,2016,University of North Carolina,Marshall,Kendall,203088,marshke01
Rawle Marshall,/players/m/marshra01.html,2006,2007,Oakland University,Marshall,Rawle,101185,marshra01
Bill Martin,/players/m/martibi01.html,1986,1988,Georgetown University,Martin,Bill,77481,martibi01
Bob Martin,/players/m/martibo01.html,1994,1995,University of Minnesota,Martin,Bob,77478,martibo01
Brian Martin,/players/m/martibr01.html,1986,1986,University of Kansas,Martin,Brian,77469,martibr01
Cartier Martin,/players/m/martica01.html,2009,2015,Kansas State University,Martin,Cartier,201858,martica01
Cuonzo Martin,/players/m/marticu01.html,1996,1997,Purdue University,Martin,Cuonzo,733,marticu01
Darrick Martin,/players/m/martida01.html,1995,2008,"University of California, Los Angeles",Martin,Darrick,239,martida01
Fernando Martin,/players/m/martife01.html,1987,1987,,Martin,Fernando,77472,martife01
Jarell Martin,/players/m/martija01.html,2016,2017,Louisiana State University,Martin,Jarell,1626185,martija01
Jeff Martin,/players/m/martije01.html,1990,1991,Murray State University,Martin,Jeff,77474,martije01
Kenyon Martin,/players/m/martike01.html,2001,2015,University of Cincinnati,Martin,Kenyon,2030,martike01
Kevin Martin,/players/m/martike02.html,2005,2016,Western Carolina University,Martin,Kevin,2755,martike02
Maurice Martin,/players/m/martima01.html,1987,1988,Saint Joseph's University,,,,martima01
Jamal Mashburn,/players/m/mashbja01.html,1994,2004,University of Kentucky,Mashburn,Jamal,469,mashbja01
Anthony Mason,/players/m/masonan01.html,1990,2003,Tennessee State University,Mason,Anthony,193,masonan01
Desmond Mason,/players/m/masonde01.html,2001,2010,Oklahoma State University,Mason,Desmond,2046,masonde01
Roger Mason,/players/m/masonro01.html,2003,2014,University of Virginia,Mason Jr.,Roger,2427,masonro01
Tony Massenburg,/players/m/masseto01.html,1991,2005,University of Maryland,Massenburg,Tony,763,masseto01
Wes Matthews,/players/m/matthwe01.html,1981,1990,University of Wisconsin,Matthews,Wes,77484,matthwe01
Wesley Matthews,/players/m/matthwe02.html,2010,2017,Marquette University,Matthews,Wesley,202083,matthwe02
Marlon Maxey,/players/m/maxeyma01.html,1993,1994,University of Texas at El Paso,Maxey,Marlon,77486,maxeyma01
Jason Maxiell,/players/m/maxieja01.html,2006,2015,University of Cincinnati,Maxiell,Jason,101131,maxieja01
Cedric Maxwell,/players/m/maxwece01.html,1978,1988,University of North Carolina at Charlotte,Maxwell,Cedric,77487,maxwece01
Vernon Maxwell,/players/m/maxweve01.html,1989,2001,University of Florida,Maxwell,Vernon,137,maxweve01
Scott May,/players/m/maysc01.html,1977,1983,Indiana University,May,Scott,77490,maysc01
Sean May,/players/m/mayse01.html,2006,2010,University of North Carolina,May,Sean,101118,mayse01
Lee Mayberry,/players/m/maybele01.html,1993,1999,University of Arkansas,Mayberry,Lee,195,maybele01
Clyde Mayes,/players/m/mayescl01.html,1976,1977,Furman University,Mayes,Clyde,77492,mayescl01
Tharon Mayes,/players/m/mayesth01.html,1992,1992,Florida State University,Mayes,Tharon,77493,mayesth01
Bill Mayfield,/players/m/mayfibi01.html,1981,1981,University of Iowa,Mayfield,Bill,77495,mayfibi01
Eric Maynor,/players/m/maynoer01.html,2010,2014,Virginia Commonwealth University,Maynor,Eric,201953,maynoer01
O.J. Mayo,/players/m/mayooj01.html,2009,2016,University of Southern California,Mayo,O.J.,201564,mayooj01
Travis Mays,/players/m/maystr01.html,1991,1993,University of Texas at Austin,Mays,Travis,77496,maystr01
Luc Mbah a Moute,/players/m/mbahalu01.html,2009,2017,"University of California, Los Angeles",Mbah a Moute,Luc,201601,mbahalu01
Bob McAdoo,/players/m/mcadobo01.html,1973,1986,University of North Carolina,McAdoo,Bob,77498,mcadobo01
James Michael McAdoo,/players/m/mcadoja01.html,2015,2017,University of North Carolina,McAdoo,James Michael,203949,mcadoja01
Ray McCallum,/players/m/mccalra01.html,2014,2016,University of Detroit Mercy,McCallum,Ray,203492,mccalra01
Bob McCann,/players/m/mccanbo01.html,1990,1998,Morehead State University,McCann,Bob,737,mccanbo01
Mel McCants,/players/m/mccanme01.html,1990,1990,Purdue University,McCants,Mel,77502,mccanme01
Rashad McCants,/players/m/mccanra01.html,2006,2009,University of North Carolina,McCants,Rashad,101119,mccanra01
Andre McCarter,/players/m/mccaran01.html,1977,1981,"University of California, Los Angeles",McCarter,Andre,77504,mccaran01
Kelly McCarty,/players/m/mccarke01.html,1999,1999,University of Southern Mississippi,McCarty,Kelly,1820,mccarke01
Walter McCarty,/players/m/mccarwa01.html,1997,2006,University of Kentucky,McCarty,Walter,962,mccarwa01
Amal McCaskill,/players/m/mccasam01.html,1997,2004,Marquette University,McCaskill,Amal,1043,mccasam01
Patrick McCaw,/players/m/mccawpa01.html,2017,2017,"University of Nevada, Las Vegas",McCaw,Patrick,1627775,mccawpa01
Dwayne McClain,/players/m/mccladw01.html,1986,1986,Villanova University,McClain,Dwayne,77509,mccladw01
Ted McClain,/players/m/mcclate01.html,1972,1979,Tennessee State University,,,,mcclate01
Dan McClintock,/players/m/mcclida01.html,2001,2001,Northern Arizona University,McClintock,Dan,2082,mcclida01
George McCloud,/players/m/mccloge01.html,1990,2002,Florida State University,McCloud,George,45,mccloge01
C.J. McCollum,/players/m/mccolcj01.html,2014,2017,Lehigh University,McCollum,CJ,203468,mccolcj01
T.J. McConnell,/players/m/mccontj01.html,2016,2017,University of Arizona,McConnell,T.J.,204456,mccontj01
Keith McCord,/players/m/mccorke01.html,1981,1981,University of Alabama at Birmingham,McCord,Keith,77515,mccorke01
Tim McCormick,/players/m/mccorti01.html,1985,1992,University of Michigan,McCormick,Tim,77516,mccorti01
Jelani McCoy,/players/m/mccoyje01.html,1999,2008,"University of California, Los Angeles",McCoy,Jelani,1741,mccoyje01
Paul McCracken,/players/m/mccrapa01.html,1973,1977,"California State University, Northridge",McCracken,Paul,77517,mccrapa01
Chris McCray,/players/m/mccrach01.html,2007,2007,University of Maryland,McCray,Chris,200840,mccrach01
Rodney McCray,/players/m/mccraro01.html,1984,1993,University of Louisville,McCray,Rodney,1622,mccraro01
Scooter McCray,/players/m/mccrasc01.html,1984,1987,University of Louisville,McCray,Scooter,77518,mccrasc01
Chris McCullough,/players/m/mcculch01.html,2016,2017,Syracuse University,McCullough,Chris,1626191,mcculch01
John McCullough,/players/m/mcculjo01.html,1982,1982,University of Oklahoma,McCullough,John,77520,mcculjo01
Clint McDaniel,/players/m/mcdancl01.html,1996,1996,University of Arkansas,McDaniel,Clint,723,mcdancl01
Xavier McDaniel,/players/m/mcdanxa01.html,1986,1998,Wichita State University,McDaniel,Xavier,1365,mcdanxa01
Jim McDaniels,/players/m/mcdanji01.html,1972,1978,Western Kentucky University,McDaniels,Jim,77523,mcdanji01
K.J. McDaniels,/players/m/mcdankj01.html,2015,2017,Clemson University,McDaniels,KJ,203909,mcdankj01
Doug McDermott,/players/m/mcderdo01.html,2015,2017,Creighton University,McDermott,Doug,203926,mcderdo01
Ben McDonald,/players/m/mcdonbe01.html,1986,1989,"University of California, Irvine",McDonald,Ben,77524,mcdonbe01
Glenn McDonald,/players/m/mcdongl01.html,1975,1977,"California State University, Long Beach",McDonald,Glenn,77525,mcdongl01
Michael McDonald,/players/m/mcdonmi01.html,1998,1998,University of New Orleans,McDonald,Michael,1075,mcdonmi01
Hank McDowell,/players/m/mcdowha01.html,1982,1987,University of Memphis,McDowell,Hank,77527,mcdowha01
Antonio McDyess,/players/m/mcdyean01.html,1996,2011,University of Alabama,McDyess,Antonio,686,mcdyean01
Jim McElroy,/players/m/mcelrji01.html,1976,1982,Central Michigan University,McElroy,Jim,77528,mcelrji01
Ivan McFarlin,/players/m/mcfariv01.html,2007,2007,Oklahoma State University,McFarlin,Ivan,200829,mcfariv01
Mitch McGary,/players/m/mcgarmi01.html,2015,2016,University of Michigan,McGary,Mitch,203956,mcgarmi01
JaVale McGee,/players/m/mcgeeja01.html,2009,2017,"University of Nevada, Reno",McGee,JaVale,201580,mcgeeja01
Mike McGee,/players/m/mcgeemi01.html,1982,1990,University of Michigan,McGee,Mike,77530,mcgeemi01
George McGinnis,/players/m/mcginge01.html,1972,1982,Indiana University,McGinnis,George,77532,mcginge01
Tracy McGrady,/players/m/mcgratr01.html,1998,2012,,McGrady,Tracy,1503,mcgratr01
Rodney McGruder,/players/m/mcgruro01.html,2017,2017,Kansas State University,McGruder,Rodney,203585,mcgruro01
Dominic McGuire,/players/m/mcguido01.html,2008,2013,"California State University, Fresno",McGuire,Dominic,201187,mcguido01
Kevin McHale,/players/m/mchalke01.html,1981,1993,University of Minnesota,McHale,Kevin,1450,mchalke01
Jim McIlvaine,/players/m/mcilvji01.html,1995,2001,Marquette University,McIlvaine,Jim,29,mcilvji01
Jeff McInnis,/players/m/mcinnje01.html,1997,2008,University of North Carolina,McInnis,Jeff,976,mcinnje01
Kevin McKenna,/players/m/mckenke01.html,1982,1988,Creighton University,McKenna,Kevin,77541,mckenke01
Forrest McKenzie,/players/m/mckenfo01.html,1987,1987,Loyola Marymount University,McKenzie,Forrest,77542,mckenfo01
Derrick McKey,/players/m/mckeyde01.html,1988,2002,University of Alabama,McKey,Derrick,365,mckeyde01
Aaron McKie,/players/m/mckieaa01.html,1995,2007,Temple University,McKie,Aaron,243,mckieaa01
Billy McKinney,/players/m/mckinbi01.html,1979,1986,Northwestern University,McKinney,Billy,77547,mckinbi01
Carlton McKinney,/players/m/mckinca01.html,1990,1992,Southern Methodist University,McKinney,Carlton,77545,mckinca01
Ben McLemore,/players/m/mclembe01.html,2014,2017,University of Kansas,McLemore,Ben,203463,mclembe01
Keith McLeod,/players/m/mcleoke01.html,2004,2007,Bowling Green State University,McLeod,Keith,2693,mcleoke01
Roshown McLeod,/players/m/mcleoro01.html,1999,2001,Duke University,McLeod,Roshown,1728,mcleoro01
Nate McMillan,/players/m/mcmilna01.html,1987,1998,North Carolina State University,McMillan,Nate,203,mcmilna01
Tom McMillen,/players/m/mcmilto01.html,1976,1986,University of Maryland,McMillen,Tom,77553,mcmilto01
Jim McMillian,/players/m/mcmilji01.html,1971,1979,Columbia University,McMillian,Jim,77554,mcmilji01
Mark McNamara,/players/m/mcnamma01.html,1983,1991,University of California,McNamara,Mark,77558,mcnamma01
Jerel McNeal,/players/m/mcneaje01.html,2015,2015,Marquette University,McNeal,Jerel,202077,mcneaje01
Chris McNealy,/players/m/mcneach01.html,1986,1988,San Jose State University,McNealy,Chris,77560,mcneach01
Larry McNeill,/players/m/mcneila01.html,1974,1979,Marquette University,McNeill,Larry,77561,mcneila01
Paul McPherson,/players/m/mcphepa01.html,2001,2001,DePaul University,McPherson,Paul,2101,mcphepa01
Cozell McQueen,/players/m/mcqueco01.html,1987,1987,North Carolina State University,McQueen,Cozell,77565,mcqueco01
Jordan McRae,/players/m/mcraejo01.html,2016,2017,University of Tennessee,McRae,Jordan,203895,mcraejo01
Josh McRoberts,/players/m/mcrobjo01.html,2008,2017,Duke University,McRoberts,Josh,201177,mcrobjo01
Stanislav Medvedenko,/players/m/medvest01.html,2001,2007,,,,,medvest01
Darnell Mee,/players/m/meeda01.html,1994,1995,Western Kentucky University,Mee,Darnell,1577,meeda01
Jodie Meeks,/players/m/meeksjo01.html,2010,2017,University of Kentucky,Meeks,Jodie,201975,meeksjo01
Scott Meents,/players/m/meentsc01.html,1990,1991,University of Illinois at Urbana-Champaign,Meents,Scott,77571,meentsc01
Salah Mejri,/players/m/mejrisa01.html,2016,2017,,Mejri,Salah,1626257,mejrisa01
Gal Mekel,/players/m/mekelga01.html,2014,2015,Wichita State University,Mekel,Gal,203539,mekelga01
Fab Melo,/players/m/melofa01.html,2013,2013,Syracuse University,Melo,Fab,203097,melofa01
Dean Meminger,/players/m/meminde01.html,1972,1977,Marquette University,Meminger,Dean,77578,meminde01
John Mengelt,/players/m/mengejo01.html,1972,1981,Auburn University,Mengelt,John,77580,mengejo01
Pops Mensah-Bonsu,/players/m/mensapo01.html,2007,2011,George Washington University,Mensah-Bonsu,Pops,200822,mensapo01
Ron Mercer,/players/m/mercero01.html,1998,2005,University of Kentucky,Mercer,Ron,1500,mercero01
Joe Meriweather,/players/m/meriwjo01.html,1976,1985,Southern Illinois University,Meriweather,Joe,77582,meriwjo01
Loren Meyer,/players/m/meyerlo01.html,1996,1999,Iowa State University,Meyer,Loren,684,meyerlo01
Dave Meyers,/players/m/meyerda01.html,1976,1980,"University of California, Los Angeles",Meyers,Dave,77586,meyerda01
Larry Micheaux,/players/m/michela01.html,1984,1985,University of Houston,Micheaux,Larry,77588,michela01
Jordan Mickey,/players/m/mickejo01.html,2016,2017,Louisiana State University,Mickey,Jordan,1626175,mickejo01
Khris Middleton,/players/m/middlkh01.html,2013,2017,Texas A&M University,Middleton,Khris,203114,middlkh01
Chris Mihm,/players/m/mihmch01.html,2001,2009,University of Texas at Austin,Mihm,Chris,2036,mihmch01
Aaron Miles,/players/m/milesaa01.html,2006,2006,University of Kansas,Miles,Aaron,101223,milesaa01
C.J. Miles,/players/m/milescj01.html,2006,2017,,Miles,CJ,101139,milescj01
Darius Miles,/players/m/milesda01.html,2001,2009,,Miles,Darius,2032,milesda01
Marko Milic,/players/m/milicma01.html,1998,1999,,Milic,Marko,1527,milicma01
Darko Milicic,/players/m/milicda01.html,2004,2013,,Milicic,Darko,2545,milicda01
Andre Miller,/players/m/millean02.html,2000,2016,University of Utah,Miller,Andre,1889,millean02
Anthony Miller,/players/m/millean01.html,1995,2005,Michigan State University,Miller,Anthony,292,millean01
Bob Miller,/players/m/millebo01.html,1984,1984,University of Cincinnati,Miller,Bob,77603,millebo01
Brad Miller,/players/m/millebr01.html,1999,2012,Purdue University,Miller,Brad,1802,millebr01
